cap,void_id,ra,dec,dist,reff,reff_uncert,edge
NGC,40,97.709861564401,68.6571265306886,432.4611190317703,23.82039380731539,0.07840708035223082,1
NGC,41,149.18196063823447,-5.884227745056517,323.95302798588875,24.047971452702196,0.08260188120135768,1
NGC,42,134.7315928209557,-6.764865676913048,586.0215718586064,25.760669284518798,0.0895723576533952,1
NGC,43,100.47862873794116,68.83652394791469,547.4972547861984,25.106302589625106,0.08778829463440795,1
NGC,44,255.965402460851,4.734110213785945,581.599884729995,22.877571342878266,0.08115900200684029,1
NGC,45,113.9263583256692,24.954598505605478,526.6077957034363,24.492626338987392,0.0846530159071918,1
NGC,46,216.9526401467899,-1.6495576692220923,194.54680982081743,24.55522812161698,0.09318813322317922,1
NGC,47,242.58975233352757,12.999311551475506,480.51376713083,23.84603265730196,0.08288176156162755,1
NGC,48,255.74900921197738,4.733397094563515,524.1774017813352,23.872359161109344,0.09242547009482403,1
NGC,49,258.9171822514686,17.720952100951205,565.5614381757609,24.234601188893766,0.08857178939871596,1
NGC,50,259.6712657091237,10.049295005374326,665.250774534352,23.12849319099542,0.08679859475515518,1
NGC,51,144.7437720832309,1.7507274028649034,585.4450767183519,23.7410215133365,0.08097830495551897,1
NGC,52,184.27117318718177,-0.8055038102415643,648.9390713610309,26.58340232091305,0.09200818924630476,1
NGC,53,216.99498724379697,41.11937656735485,661.3923906594354,23.25867806181654,0.08459470025860569,1
NGC,54,95.74456429874148,63.55861543566501,623.8102355465481,24.56340907192103,0.07934618581937365,1
NGC,55,206.62925014321283,6.394834567781382,265.8214218965198,22.241356365144945,0.07664148162061238,1
NGC,56,138.4306173268131,0.3343736362700043,322.71731754039246,25.71008896395053,0.09707634741273338,1
NGC,57,158.43283735728505,-8.558612079264096,646.0775587290456,24.025483129705545,0.09254428810909712,1
NGC,58,120.68109886867273,10.63569790255835,664.4908011216767,21.898347973379163,0.08241576976636093,1
NGC,59,157.67399323560372,-5.881442577015685,648.5966609623559,25.297185360225598,0.09962308035606326,0
NGC,60,240.70906840217788,2.6918410493574805,523.9293202652552,25.815585690782697,0.09431186571170949,0
NGC,61,127.41309944336476,1.7856758784091675,385.0972558111905,25.703667952310308,0.08982304841146356,1
NGC,62,174.94150305741286,1.5894705406550986,426.5290005198326,24.77987478074939,0.08699503365668217,1
NGC,63,133.46853148253803,-3.797955550887737,350.999990706199,25.098856933655167,0.09571760535002186,0
NGC,64,142.96165089986317,-6.42302897056487,347.8234965930514,24.65168318676859,0.08915696682239904,1
NGC,65,266.1939593996829,35.16221695751629,652.82879587497,22.5795189071725,0.08237320850373796,1
NGC,66,238.66495433186003,-0.2213387277774587,501.70946673250023,23.01163632392464,0.08595833448862934,1
NGC,67,-87.36262310762979,34.13832611146182,439.60954886664365,23.271490282368166,0.07827294910166648,1
NGC,68,123.20196093461605,6.199084875857877,619.5747096702801,25.23525579121155,0.08838083115304003,1
NGC,69,211.76674083734838,-1.5060918910913905,648.6434420116174,24.813654030230442,0.08825742252316793,0
NGC,70,123.9146899302788,1.6732065525252398,586.6569272446304,23.007128088058412,0.0818155216504585,1
NGC,71,251.73047562215876,6.6672060347752256,484.20990627372,25.230380849908563,0.09466753685381178,0
NGC,72,161.7526671955259,-7.159787141298358,457.0442206796881,24.856614983360366,0.09018827421951178,1
NGC,73,268.8113946479861,30.639488019058707,665.3981312938693,22.69704252751674,0.08064801662667652,1
NGC,74,221.77279798112193,-1.3237903504218491,472.06567060528107,25.552667949987992,0.08803430104203591,0
NGC,75,166.94512517919648,0.8223188793631111,496.03002656097306,24.601623680084845,0.08302866286805177,1
NGC,76,213.61681521656627,36.80912916422701,640.8050187288122,23.203501574991126,0.08471788878436176,1
NGC,77,237.96220368361546,32.55036573495995,400.6970298559942,23.041825559136807,0.09319170331472079,1
NGC,78,-85.6564169976899,38.24828394656077,575.6307645167487,25.613940917782873,0.09794097980498702,1
NGC,79,157.67405117321155,-6.602529858285263,240.79865251520565,23.209734187900978,0.07878688759880063,1
NGC,80,203.41942347120028,0.9435472844760117,550.9047557034972,24.531393042575925,0.09268228332161856,0
NGC,81,132.98797268682668,2.9844245451555365,513.1755806508525,24.531632160706884,0.08945870603485094,1
NGC,82,223.76438511887892,32.92706661985398,657.5039457124989,24.49844710735575,0.08694402325880587,1
NGC,83,245.0822516491544,0.300858982463652,505.1837072954033,22.368321737453265,0.08379269458770497,1
NGC,84,228.43944581401445,-5.245488383550574,527.8527749505641,20.31164644899551,0.06510147101951536,1
NGC,85,164.25190620705885,0.45907497455410584,588.0833447607897,24.99489243327647,0.09302690722506855,0
NGC,86,179.5854566338929,1.0442049065621068,532.9234308214435,23.488705581715273,0.08082636582805759,1
NGC,87,178.21446747465183,-0.6446768512422341,614.1673770889709,24.81682196070707,0.08953767593958462,0
NGC,88,152.4178219636624,-6.343891022885692,511.25839243074165,24.541710609138878,0.09486167073860376,1
NGC,89,194.08413483007487,-0.21401380035711307,440.38379058474624,22.762814834949282,0.08558236040284882,1
NGC,90,242.7289125008638,0.6638715398747274,548.1839738317136,23.527425274622267,0.08710580975998544,1
NGC,91,-89.70848978891026,32.30912411685947,421.2255379721642,24.63070432317712,0.09491431242457435,1
NGC,92,257.0505367523785,8.17112847146107,376.00674851013997,23.811291435690016,0.08999822219159709,1
NGC,93,101.97440593214004,65.14599320028353,639.1172323986174,22.136211011783317,0.07746497489386178,1
NGC,94,125.9710199031486,1.198347069195769,324.5560300144917,22.433709911697036,0.09009496541704544,1
NGC,95,237.40640411527735,-0.30956129782125447,393.74686246484873,22.1185869008757,0.0811651357871017,1
NGC,96,194.4998515804012,5.505926223621316,470.1998712057336,23.168368389968997,0.08909710715708899,1
NGC,97,241.44680221755095,0.5275219540591692,644.1665800540126,23.097860773498358,0.08966505300044249,1
