cap,void_id,ra,dec,z,reff,tot_area,edge_area
NGC,708,228.20935151841147,-1.5561526723084598,0.15274503905430992,15.236146343776143,6729.1999699465305,813.5515202556056
NGC,709,262.0586172328575,22.268796952770483,0.19185677546786575,14.503820716735508,8174.20266900109,1785.7050208010085
NGC,710,267.31040960680355,25.92351300252088,0.22910766880406847,14.590542446854363,6748.75078124041,386.0634350114819
NGC,711,216.08246989687788,-2.4645661686343328,0.19696253332632235,20.40943221606103,14590.014914084843,2128.830705886618
NGC,712,118.01958362139496,24.788793903900455,0.2327829297214808,13.319603473965408,6573.402854116299,2050.5237386040435
NGC,713,251.296307994259,0.7775956090562959,0.2343465414799828,11.848492769041961,4287.53495239843,1357.1277203645022
NGC,714,194.97458020376732,-2.7262418497676304,0.07628758758528265,13.005966215087378,5369.393063000587,886.563304711608
NGC,715,174.0767316895535,-2.2908930941512984,0.2221401988965443,13.488572282209933,5173.265080885717,0.0
NGC,716,189.51599642929997,-3.4578419259462048,0.15697662158754316,17.32875094544536,12152.931603213423,3332.031978783298
NGC,717,257.27373724390407,11.325659054754095,0.1536052742031871,21.867266760293774,16842.54962388732,2699.498406976625
NGC,718,196.92113058721043,-3.5129049820598293,0.0924699840674963,18.59028505423155,13665.873043234977,2315.469182782656
NGC,719,120.60731829894256,11.611548468655482,0.21195756289429357,13.191270784252636,7296.678579311546,2483.0448764785274
NGC,720,234.52086246324814,2.950732219650115,0.17217414347381077,11.603379533848907,3152.506062636561,0.0
NGC,721,143.02307555706662,0.09390449076731146,0.22449653196852498,20.097379297343696,14704.474050773819,1239.4858491280595
NGC,722,195.06583616950635,-0.36976040971712787,0.09114306508696958,14.607956498070171,8465.160569282092,1291.2517181578792
NGC,723,193.16700868455567,-3.1455678042522717,0.13429926147943036,21.627702039551256,17071.779625550458,1909.6245681836583
NGC,724,219.8565067175424,37.14039354055122,0.06758422143113679,22.167713547719497,31313.39757486809,11820.000249950348
NGC,725,183.44245508642308,-1.3026383135379493,0.17492334577911803,14.103067554817438,6999.794204549149,1406.8187942595114
NGC,726,209.91575889204213,5.345332970347419,0.18997502041511466,14.7056869937621,6505.915547564836,1062.1518312166845
NGC,727,246.8743508600242,0.6392852741826552,0.1705338390219924,12.762978818562773,6813.323041107767,1391.5425195895655
NGC,728,239.085145028868,3.008881113932839,0.11258323300343978,12.831270206476788,5087.180817503284,481.1234530076916
NGC,729,199.92424095178944,-3.0498066368990657,0.17572707014674863,12.745025386959538,4627.473787662406,340.38981812995974
NGC,730,233.09150199140947,2.7482024534322784,0.23358059068375908,18.622398223351038,12054.84322972895,2202.3361194806057
NGC,731,231.23791135340056,0.3040600239367299,0.14524051788696757,21.689085912613596,19492.297694945108,3501.551239024383
NGC,732,145.66565047645466,-6.217027487680139,0.22981047425587556,26.784369962246064,30336.43470551813,7377.226734342405
NGC,733,158.60935614223163,-6.960672899498337,0.21355229985809634,22.544265919107985,19917.622216202333,3123.7741469404855
NGC,734,261.4982521697776,15.0767949238199,0.16647829955060214,30.454969930478192,42426.065898267916,6855.0969618090285
NGC,735,264.015324784031,24.085470497029632,0.14959917877495083,11.669839734250324,3513.028590764961,598.9278261519272
NGC,736,271.3141587863184,35.277903195172286,0.11147034243766323,24.645525489642722,32663.949708772514,10385.921938417156
NGC,737,218.12107031484166,34.497230789424854,0.08057492470883627,10.913707322187769,3563.830165107574,953.2686987206217
NGC,738,159.8946223724028,-1.545727394838239,0.22302274354011437,17.156739126802083,9798.805022975941,0.0
NGC,739,269.44913517126423,24.540009502196877,0.21303663259494016,12.922356485520888,5883.650983217585,1810.543552145616
NGC,740,109.13504393714238,38.74274722833155,0.23164696417363478,17.729835719502997,16344.9268072193,6568.179435873444
NGC,741,139.8420617562395,-4.395052338770572,0.07271407758184821,14.357550654551824,6920.478761054165,1459.7691413683838
NGC,742,265.41969103084716,15.017362764515598,0.17295456480446691,11.680909178763148,5639.336839457736,1522.7274318696996
NGC,743,216.26403570812332,2.3679273607173497,0.23498502540091684,12.296645782952197,5002.465886403308,1187.1752927666896
NGC,744,249.98808045120677,1.4939896219123587,0.2289989835556995,21.984099326184744,18916.5439787447,2756.932440797651
NGC,745,248.81459220923222,3.5289339066694536,0.16130443783495865,12.438059857811167,5372.922804983283,0.0
NGC,746,127.19370236246085,5.91605665866646,0.23549210940870977,13.327460321802393,6980.229540911356,2111.4265055421097
NGC,747,241.07817608141528,11.36298538635768,0.22920289151778156,30.37522467660917,51415.72516350117,12566.667816431232
NGC,748,268.54253825612824,30.888756132974574,0.12799504730717623,24.77014514423136,27561.661933917905,6789.830203598467
NGC,749,246.64848763514078,9.42214010294579,0.2304243622956143,20.713250159451515,15509.829038299027,2833.7287541376363
NGC,750,240.75062409194254,1.4599186574677843,0.2222508834124848,12.84533732825716,5460.365516729654,848.7427574968782
NGC,751,142.44341194549784,-5.246358711037978,0.08551811162272643,20.52776430270561,19965.720345765203,5575.997848666623
NGC,752,241.1103427691462,31.482958119813553,0.21258549968566468,18.279212513607867,15251.484030513755,4788.616334729813
NGC,753,226.1716615513562,32.46969489698278,0.2113126019277976,12.923081098118747,5825.896505912556,1578.5615265969382
NGC,754,238.32509805205495,0.2066310239350266,0.22486756968773453,13.268138582711234,4855.830347979668,807.663811077912
NGC,755,177.35765459222645,-5.582881636221366,0.23290154799965423,10.35447751721977,3376.451994522401,683.9025303198409
NGC,756,176.02324906161525,-5.515173539919962,0.2339633873700173,16.221522954215416,9399.523661750658,1784.766167205041
NGC,757,288.6996186703056,65.73845487039266,0.23045715920949408,16.881481923427184,13772.354547656723,4333.534040404221
NGC,758,268.04984964723343,24.222575180874138,0.22142949940840853,14.799794776046578,7411.996949588445,1026.3290435955328
NGC,759,176.89546392361743,-6.1055310416761115,0.22708520271250324,16.76446197380366,9566.032786819356,1319.7340875802759
NGC,760,223.03209041003603,33.38776772667409,0.20664006126875759,17.820057770091317,12873.568182218894,2876.353680954692
NGC,761,138.34454928468966,2.439976850976299,0.19532500547884493,14.451485567841797,7121.765544796159,1154.9209902481161
NGC,762,190.89561825803528,-4.1587472301214,0.07256204077354723,13.204753696702303,7969.880607137222,2573.7014636941726
