Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,
153,240,256,376,501,417,334,331,814,305,295,194,358,306,723,399,189,287,457,433,
154,534,370,-1,465,-1,439,-1,424,340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
155,98,87,25,63,228,-1,133,241,32,197,211,299,-1,-1,-1,76,-1,-1,-1,
157,55,40,45,185,95,78,104,114,115,71,146,128,358,-1,-1,193,-1,-1,-1,
158,265,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
161,177,-1,-1,-1,-1,539,-1,-1,185,418,-1,-1,-1,-1,-1,-1,-1,-1,-1,
162,184,-1,222,-1,-1,-1,123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
163,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
166,372,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
167,221,213,185,126,-1,659,517,-1,297,-1,-1,-1,118,236,-1,457,-1,-1,-1,
168,66,55,55,61,85,31,59,26,22,-1,60,18,28,-1,-1,159,151,273,41,
169,313,-1,412,228,737,-1,660,-1,-1,-1,-1,259,426,290,811,321,462,629,658,
171,37,110,-1,-1,-1,-1,-1,395,-1,-1,-1,125,170,123,141,-1,134,330,-1,
172,159,125,168,162,245,204,143,194,226,225,229,140,132,213,-1,266,266,438,-1,
173,400,379,-1,-1,447,315,285,202,451,166,149,77,299,416,-1,-1,-1,-1,-1,
175,350,222,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
176,134,202,125,116,-1,-1,-1,-1,-1,406,116,462,-1,-1,-1,-1,59,-1,259,
177,152,-1,-1,226,-1,242,-1,-1,-1,-1,-1,-1,562,-1,-1,-1,-1,-1,-1,
181,107,311,96,137,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
182,-1,480,325,-1,-1,-1,-1,-1,-1,-1,-1,-1,300,-1,396,273,-1,102,-1,
184,355,-1,283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
186,743,413,-1,-1,-1,-1,587,-1,179,-1,-1,294,432,1038,-1,-1,-1,-1,-1,
187,249,157,255,239,125,272,135,276,209,314,302,246,373,329,159,154,181,193,179,
188,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,245,-1,-1,-1,-1,-1,-1,-1,
190,-1,-1,-1,-1,-1,67,-1,-1,315,435,-1,234,-1,-1,-1,-1,-1,-1,377,
192,140,54,-1,-1,451,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
193,136,237,-1,-1,-1,-1,-1,-1,-1,183,164,-1,-1,-1,-1,-1,-1,-1,-1,
194,-1,-1,-1,-1,-1,-1,-1,338,-1,617,283,-1,53,72,307,-1,-1,408,266,
195,654,960,262,-1,444,817,220,222,197,196,-1,350,480,669,-1,367,445,234,221,
196,-1,-1,-1,-1,-1,-1,-1,-1,607,381,226,-1,461,-1,-1,-1,227,-1,-1,
197,579,279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
198,-1,647,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
199,-1,-1,-1,681,503,479,-1,-1,-1,-1,-1,332,850,-1,-1,313,517,-1,-1,
200,-1,133,-1,-1,-1,-1,-1,333,113,77,61,-1,-1,-1,-1,-1,-1,-1,-1,
202,599,-1,308,-1,-1,-1,-1,-1,-1,-1,-1,-1,593,-1,-1,-1,-1,-1,-1,
204,-1,-1,389,676,-1,-1,-1,-1,-1,-1,-1,-1,352,610,-1,941,506,728,1065,
206,161,-1,-1,378,355,62,-1,48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
